timestamp,cpu_usage,memory_usage
0,9.86,28.8
10,14.09,29.07
20,7.41,29.52
30,10.79,30.12
40,16.0,27.56
50,10.7,29.84
60,10.02,29.98
70,11.55,30.83
80,9.35,30.1
90,11.05,29.97
100,6.95,30.95
110,12.43,30.38
120,6.8,29.55
130,13.69,28.61
140,3.56,30.17
150,12.14,28.16
160,11.18,30.47
170,16.0,31.07
180,11.03,29.05
190,4.15,28.63
200,9.46,30.48
210,13.03,30.6
220,7.98,31.47
230,9.65,31.73
240,7.55,30.33
250,10.77,30.74
260,6.75,29.85
270,8.37,29.89
280,13.22,29.22
290,12.59,32.29
300,14.89,30.29
310,10.57,29.68
320,6.58,30.96
330,8.03,29.64
340,10.94,30.85
350,5.64,29.49
360,13.27,28.9
370,10.5,29.49
380,7.69,29.34
390,8.02,29.18
400,14.18,29.56
410,12.31,28.57
420,14.63,31.97
430,4.59,30.17
440,6.02,29.86
450,12.71,30.22
460,12.11,30.03
470,9.19,30.43
480,6.44,30.89
490,9.77,29.73
500,10.95,31.25
510,12.47,30.87
520,7.52,28.97
530,8.06,30.12
540,12.31,29.4
550,9.94,30.47
560,11.56,30.85
570,14.71,29.84
580,5.84,30.15
590,7.31,29.97
600,11.22,29.04
610,13.48,33.06
620,8.8,30.32
630,11.94,29.97
640,4.43,31.36
650,11.6,30.5
660,15.51,29.99
670,11.6,29.65
680,7.32,30.34
690,9.67,29.52
700,7.15,27.68
710,11.66,29.66
720,9.11,28.69
730,6.45,28.82
740,14.46,29.33
750,7.93,28.56
760,8.62,29.83
770,8.76,29.59
780,12.43,29.09
790,8.26,30.6
800,6.87,29.46
810,11.46,30.52
820,10.09,31.66
830,8.31,29.51
840,12.32,29.27
850,8.57,29.21
860,9.58,29.88
870,11.02,29.8
880,15.03,29.21
890,11.48,30.23
900,7.69,30.7
910,10.24,27.91
920,9.44,30.0
930,15.38,30.41
940,11.43,31.17
950,12.56,31.81
960,9.91,30.45
970,13.28,31.06
980,6.93,29.45
990,7.69,29.57
1000,9.88,31.55
1010,5.56,29.18
1020,13.82,30.53
1030,9.45,29.49
1040,11.09,31.68
1050,9.47,30.53
1060,8.17,31.04
1070,7.39,30.36
1080,14.0,29.37
1090,6.66,33.25
1100,5.22,30.39
1110,9.35,32.02
1120,8.26,30.2
1130,5.51,30.27
1140,14.44,30.09
1150,9.65,31.18
1160,6.28,28.42
1170,12.28,30.24
1180,10.28,30.19
1190,14.31,29.05
1200,4.62,28.98
1210,10.22,28.12
1220,5.87,31.59
1230,12.24,30.54
1240,13.95,29.46
1250,5.47,29.95
1260,7.16,28.1
1270,10.86,30.29
1280,9.49,29.53
1290,7.09,31.53
1300,11.15,29.12
1310,7.56,29.51
1320,10.76,29.24
1330,5.6,29.23
1340,8.91,29.35
1350,3.77,30.68
1360,11.05,30.78
1370,7.84,30.19
1380,11.9,30.34
1390,12.72,29.32
1400,11.56,29.31
1410,10.9,31.91
1420,11.03,31.6
1430,9.91,31.36
1440,7.22,29.15
1450,8.79,29.74
1460,2.51,29.48
1470,10.66,32.54
1480,12.01,31.15
1490,11.52,30.8
1500,10.59,30.82
1510,14.61,29.55
1520,11.7,30.98
1530,10.63,30.8
1540,6.11,29.99
1550,13.05,28.56
1560,9.6,28.9
1570,12.47,29.71
